\AiryPhaseTheta@{z},Airy phase function $\theta$,phase-Airy-Theta,F|F:P,$\theta$,http://dlmf.nist.gov/9.8#i,
\AlSalamCarlitzI{a}{n}@{x}{q},Al-Salam-Carlitz I polynomial,EMPTY,P|F:P,$U^{(n)}_{\alpha}$,http://drmf.wmflabs.org/wiki/Definition:AlSalamCarlitzI,
\AlSalamCarlitzII{a}{n}@{x}{q},Al-Salam-Carlitz II polynomial,EMPTY,P|F:P,$V^{(n)}_{\alpha}$,http://drmf.wmflabs.org/wiki/Definition:AlSalamCarlitzII,
\AlSalamChihara{n}@@{x}{a}{b}{q},Al-Salam-Chihara polynomial,Al-Salam-Chihara-polynomial-Q,P|F:P:PS,$Q_{n}$,http://drmf.wmflabs.org/wiki/Definition:AlSalamChihara,
\AlSalamChiharaQ{n}@{x}{a}{b}{q},Al-Salam-Chihara polynomial,AlSalam-Chihara-polynomial-Q,P|F:P,$Q_{n}$,http://dlmf.nist.gov/18.28#E7,
\AlSalamIsmail{n}@{x}{s}{q},Al-Salam Ismail polynomial,Al-Salam-Ismail-q-polynomial-U,P|P:F,$U_{n}$,http://drmf.wmflabs.org/wiki/Definition:AlSalamIsmail,
\AngerA{\nu}@{z},Anger-Weber function,associated-Anger-Weber-A,F|F:P,$\mathbf{A}_{\nu}$,http://dlmf.nist.gov/11.10#E4,
\AngerJ{\nu}@{z},Anger function,Anger-J,F|F:P,$\mathbf{J}_{\nu}$,http://dlmf.nist.gov/11.10#E1,
\AntiDer@{x}{f(x)},semantic antiderivative,antiderivative,SM|O,"$\int f(x){\mathrm d}\!x$",http://drmf.wmflabs.org/wiki/Definition:AntiDer,
\AppellFi@{\alpha}{\beta}{\beta'}{\gamma}{x}{y},Appell function $F_1$,Appell-F-1,F|F:P,${F_{1}}$,http://dlmf.nist.gov/16.13#E1,
\AppellFii@{\alpha}{\beta}{\beta'}{\gamma}{\gamma'}{x}{y},Appell function $F_2$,Appell-F-2,F|F:P,${F_{2}}$,http://dlmf.nist.gov/16.13#E2,
\AppellFiii@{\alpha}{\alpha'}{\beta}{\beta'}{\gamma}{x}{y},Appell function $F_3$,Appell-F-3,F|F:P,${F_{3}}$,http://dlmf.nist.gov/16.13#E3,
\AppellFiv@{\alpha}{\beta}{\gamma}{\gamma'}{x}{y},Appell function $F_4$,Appell-F-4,F|F:P,${F_{4}}$,http://dlmf.nist.gov/16.13#E4,
\Asec@@{z},general inverse secant function,multivalued-inverse-secant,F|F:P:nP,$\mathrm{Arcsec}$,http://dlmf.nist.gov/4.23#E5,
\Asech@@{z},general inverse hyperbolic secant function,multivalued-hyperbolic-inverse-secant,F|F:P:nP,$\mathrm{Arcsech}$,http://dlmf.nist.gov/4.37#E5,
\Asin@@{z},general inverse sine function,multivalued-inverse-sine,F|F:P:nP,$\mathrm{Arcsin}$,http://dlmf.nist.gov/4.23#E1,
\Asinh@@{z},general inverse hyperbolic sine function,multivalued-hyperbolic-inverse-sine,F|F:P:nP,$\mathrm{Arcsinh}$,http://dlmf.nist.gov/4.37#E1,
